weisen	einweisen	ADJ:V	ein-
weisen	ausweisen	ADJ:V	aus-
klären	erklären	V:V	er-
Makel	makellos	N:ADJ	-los
Wasser	Abwasser	N:N	ab-
Stand	Abstand	N:N	ab-
Knoten	Knödel	N:N	-el
Burg	Bürger	N:N	-er
Sicht	Absicht	N:N	ab-
Dach	decken	N:V	-en
Eiche	Eichel	N:N	-el
erkennen	anerkennen	V:V	an-
Bäcker	Bäckerei	N:N	-ei
halb	oberhalb	ADJ:U	ober-
halb	unterhalb	ADJ:U	unter-
Speise	Hauptspeise	N:N	haupt-
rechnen	Rechnung	V:N	-ung
frisieren	Friseur	V:N	-eur
dichten	Dichtung	ADJ:N	-ung
mögen	möglich	V:ADJ	-lich
Trank	Getränk	N:N	ge-
Zufall	zufällig	N:ADJ	-ig
gehen	hinausgehen	V:V	hinaus-
gehen	hineingehen	V:V	hinein-
Kreuz	kreuzen	N:V	-en
queren	überqueren	V:V	über-
richten	Richtung	V:N	-ung
ziehen	anziehen	V:V	an-
Mals	damals	N:ADV	da-
winden	Gewand	V:N	ge-
rechnen	Rechenschaft	V:N	-schaft
treffen	übertreffen	N:V	über-
ziemen	ziemlich	V:ADV	-lich
Deismus	Pandeismus	N:N	pan-
Theismus	Pantheismus	N:N	pan-
lösen	auflösen	N:V	auf-
leiten	Leitung	V:N	-ung
groß	Größe	ADJ:N	-e
nass	Nässe	ADJ:N	-e
Gicht	Beichte	N:N	bei-
Arm	Ärmel	N:N	-el
Bund	Bündel	N:N	-el
breit	Breite	ADJ:N	-e
braun	Bräune	ADJ:N	-e
dienen	Diener	V:N	-er
flach	Fläche	ADJ:N	-e
flau	Flaute	ADJ:N	-te
sprechen	Gespräch	V:N	ge-
Garten	Gärtner	N:N	-er
hart	Härte	N:N	-e
heben	Hebel	V:N	-el
henken	Henker	V:N	-er
hohl	Höhle	ADJ:N	-e
jagen	Jäger	V:N	-er
kalt	Kälte	ADJ:N	-e
kaufen	Käufer	V:N	-er
bloß	Blöße	ADJ:N	-e
kennen	erkennen	V:V	er-
ändern	verändern	V:V	ver-
lang	Länge	ADJ:N	-e
weit	Weite	ADJ:N	-e
nah	Nähe	ADJ:N	-e
raten	Rätsel	V:N	-sel
siech	Seuche	ADJ:N	-e
stark	Stärke	ADJ:N	-e
Vater	Stiefvater	N:N	stief-
Mutter	Schwiegermutter	N:N	schwieger-
Grund	Untergrund	N:N	unter-
teilen	erteilen	V:V	er-
warm	Wärme	ADJ:N	-e
weich	Weiche	ADJ:N	-e
werben	Werbung	V:N	-ung
wohnen	Wohnung	V:N	-ung
voll	Fülle	ADJ:N	-e
löschen	erlöschen	V:V	er-
gut	Güte	N:N	-e
kurz	Kürze	ADJ:N	-e
tief	Tiefe	ADJ:N	-e
scharf	Schärfe	ADJ:N	-e
kühl	Kühle	ADJ:N	-e
still	Stille	ADV:N	-e
schwer	Schwere	ADJ:N	-e
dick	Dicke	N:N	-e
froh	freuen	ADJ:V	-en
Gunst	günstig	N:ADJ	-ig
Esperanto	Esperantist	N:N	-ist
splittern	zersplittern	V:V	zer-
bieten	anbieten	V:V	an-
dichten	Dichter	V:N	-er
Säge	sägen	N:V	-en
nieder	niedrig	ADJ:ADJ	-ig
brechen	erbrechen	N:V	er-
Schmutz	schmutzig	N:ADJ	-ig
Amerika	Amerikaner	N:N	-er
arbeiten	bearbeiten	V:V	be-
holen	abholen	V:V	ab-
aufmerken	aufmerksam	V:ADJ	-sam
Alptraum	alptraumhaft	N:ADJ	-haft
Freund	freundlich	N:ADJ	-lich
sammeln	Sammlung	V:N	-ung
großzügig	Großzügigkeit	ADJ:N	-keit
gemein	Gemeinde	ADJ:N	-de
gemein	Gemeinschaft	ADJ:N	-schaft
Fußball	Fußballer	N:N	-er
setzen	durchsetzen	V:V	durch-
starr	erstarren	ADJ:V	er-
rechnen	Rechner	V:N	-er
Wagen	Wagner	N:N	-er
Gott	Göttin	N:N	-in
melden	abmelden	V:V	ab-
Welt	Umwelt	N:N	um-
Freund	Freundschaft	N:N	-schaft
krank	Krankheit	ADJ:N	-heit
Stadt	Hauptstadt	N:N	haupt-
schön	Schönheit	ADJ:N	-heit
allgemein	Allgemeinheit	ADJ:N	-heit
möglich	Möglichkeit	ADJ:N	-keit
Natur	natürlich	N:ADJ	-lich
Atheist	Atheistin	N:N	-in
Stand	Widerstand	N:N	wider-
erlösen	Erlösung	V:N	-ung
Quark	Antiquark	N:N	anti-
Absorption	adsorption	N:N	ad-
schneiden	abschneiden	V:V	ab-
fassen	anfassen	V:V	an-
abhängen	abhängig	V:ADJ	-ig
zwingen	bezwingen	V:V	be-
lachen	auslachen	N:V	aus-
Hose	Unterhose	N:N	unter-
schlüpfen	Schlüpfer	V:N	-er
verwundbar	Verwundbarkeit	ADJ:N	-keit
wunden	verwunden	V:V	ver-
Relation	relational	N:ADJ	-al
frisch	Frische	ADJ:N	-e
wecken	erwecken	V:V	er-
Knall	Urknall	N:N	ur-
springen	Springer	V:N	-er
laufen	Läufer	V:N	-er
Achat	achaten	N:ADJ	-en
Mine	minen	N:V	-en
Zeitgenosse	zeitgenössisch	N:ADJ	-isch
vergleichen	vergleichbar	V:ADJ	-bar
spezifisch	Spezifität	ADJ:N	-ität
zünden	Zündung	V:N	-ung
Holz	hölzern	N:ADJ	-ern
hängen	Vorhang	V:N	vor-
durchlässig	undurchlässig	ADJ:ADJ	un-
süß	Süßigkeit	ADJ:N	-igkeit
abfertigen	Abfertigung	V:N	-ung
sexuell	heterosexuell	ADJ:ADJ	hetero-
fahrenmitfahren	durchfahren	U:U	durch-
wickeln	Entwicklung	V:N	ent-
König	Königin	N:N	-in
schwarz	Schwärze	N:N	-e
Löwe	Löwin	N:N	-in
zusammenfassen	Zusammenfassung	V:N	-ung
Funktion	funktional	N:ADJ	-al
Deist	Deistin	N:N	-in
Panendeist	Panendeistin	N:N	-in
Panentheist	Panentheistin	N:N	-in
Pantheist	Pantheistin	N:N	-in
Pandeist	Pandeistin	N:N	-in
Pandeist	pandeistisch	N:ADJ	-isch
Pantheist	pantheistisch	N:ADJ	-isch
Monotheist	monotheistisch	N:ADJ	-isch
benutzen	Benutzer	V:N	-er
benutzen	Benutzung	V:N	-ung
leisten	Leistung	V:N	-ung
kacken	abkacken	V:V	ab-
denken	bedenken	V:V	be-
Teil	afdeling	N:N	ab-
Mann	Männchen	N:N	-chen
betonen	Betonung	V:N	-ung
kennen	verkennen	V:V	ver-
Kanin	Kaninchen	N:N	-chen
Fantast	fantastisch	N:ADJ	-isch
national	supranational	ADJ:ADJ	supra-
scheinen	erscheinen	V:V	er-
entstehen	Entstehung	V:N	-ung
wickeln	entwickeln	V:V	ent-
aktiv	aktivieren	ADJ:V	-ieren
aktivieren	deaktivieren	V:V	de-
Ton	betonen	N:V	be-
gleichschalten	Gleichschaltung	V:N	-ung
kommutativ	antikommutativ	ADJ:ADJ	anti-
prüfen	Prüfung	V:N	-ung
treffen	betreffen	N:V	be-
Gift	giftig	N:ADJ	-ig
richten	verrichten	V:V	ver-
denken	gedenken	V:V	ge-
greifen	greifbar	V:ADJ	-bar
national	Nationalität	ADJ:N	-ität
Mesenchym	mesenchymal	N:ADJ	-al
Proposition	propositional	N:ADJ	-al
Schluss	Zusammenschluss	N:N	zusammen-
kennen	erkende	V:V	er-
stören	Störung	V:N	-ung
zählen	Zähler	V:N	-er
Genese	phylogenesis	N:N	phylo-
Montreal	Montrealer	N:N	-er
Katze	Kätzchen	N:N	-chen
Heim	geheim	N:ADJ	ge-
Geheimnis	geheimnisvoll	N:ADJ	-voll
Herr	Herrin	N:N	-in
Rasse	Rassist	N:N	-ist
Punk	Punker	N:N	-er
Lautmalerei	lautmalerisch	N:ADJ	-isch
Information	Informatik	N:N	-ik
Informatik	Informatiker	N:N	-er
spiegeln	Spiegelei	V:N	-ei
Enzephalografie	Elektroenzephalografie	N:N	elektro-
überwachen	Überwachung	V:N	-ung
Wurz	Gewürz	N:N	ge-
Elbe	elbisch	N:ADJ	-isch
Elb	elbisch	N:ADJ	-isch
Zauber	Zauberer	N:N	-er
schießen	Schießerei	V:N	-erei
Frau	Fräulein	N:N	-lein
Plan	planlos	N:ADJ	-los
verteidigen	Verteidigung	V:N	-ung
Apparat	Fotoapparat	N:N	foto-
Fall	fällig	N:ADJ	-ig
Polizei	Polizist	N:N	-ist
Pore	porös	N:ADJ	-ös
Rottweil	Rottweiler	N:N	-er
rot	rötlich	N:ADJ	-lich
Akribie	akribisch	N:ADJ	-isch
Kommune	kommunal	N:ADJ	-al
Benzoe	Benzin	N:N	-in
kehren	zurückkehren	V:V	zurück-
handeln	misshandeln	V:V	miss-
Hemd	Unterhemd	N:N	unter-
versammeln	Versammlung	V:N	-ung
Schaden	schädlich	N:ADJ	-lich
Feind	feindlich	N:ADJ	-lich
lachen	lachhaft	N:ADJ	-haft
einbrechen	Einbrecher	V:N	-er
Satan	Satanismus	N:N	-ismus
Engel	Erzengel	N:N	erz-
sägen	absägen	V:V	ab-
empfindlich	unempfindlich	ADJ:ADJ	un-
Berg	bergig	N:ADJ	-ig
lästig	belästigen	ADJ:V	be-
fahrlässig	Fahrlässigkeit	ADJ:N	-keit
Sudel	besudeln	V:V	be-
bedeuten	bedeutsam	V:ADJ	-sam
widerlegen	Widerlegung	V:N	-ung
zünden	anzünden	V:V	an-
fachen	entfachen	V:V	ent-
Ring	ringförmig	N:ADJ	-förmig
Seide	seiden	N:ADJ	-en
Grund	gründlich	N:ADJ	-lich
fälschen	Fälschung	V:N	-ung
Umgang	umgänglich	N:ADJ	-lich
einmal	einmalig	ADV:ADJ	-ig
wachsam	Wachsamkeit	ADJ:N	-keit
ahnen	Ahnung	V:N	-ung
Ärger	Ärgernis	N:N	-nis
verachten	verachtenswert	V:ADJ	-wert
Fest	festlich	N:ADJ	-lich
Baufall	baufällig	N:ADJ	-ig
schmutzen	beschmutzen	V:V	be-
empfangen	Empfänger	V:N	-er
flüssig	überflüssig	ADJ:ADJ	über-
rollen	Roller	V:N	-er
verletzt	unverletzt	ADJ:ADJ	un-
Papst	päpstlich	N:ADJ	-lich
Name	namentlich	N:ADJ	-lich
geben	ergeben	V:ADJ	er-
fangen	empfangen	V:V	emp-
Führer	Oberführer	N:N	ober-
ausdrücken	ausdrücklich	V:ADJ	-lich
heimlich	unheimlich	ADJ:ADJ	un-
Stein	steinen	N:ADJ	-en
furzen	futz	V:V	herum-
Frieden	friedlich	N:ADJ	-lich
Ruhe	ruhig	N:ADJ	-ig
knien	niederknien	N:V	nieder-
Verdacht	verdächtig	N:ADJ	-ig
beharrlich	Beharrlichkeit	ADJ:N	-keit
harren	beharren	V:V	be-
käuen	wiederkäuen	V:V	wieder-
trennen	abtrennen	V:V	ab-
Schmalz	schmalzig	N:ADJ	-ig
Bedingung	bedingungslos	N:ADJ	-los
anwenden	Anwender	V:N	-er
schlachten	Schlachtung	V:N	-ung
Einwohner	Ureinwohner	N:N	ur-
Büro	Bürokratie	N:N	-kratie
vergewaltigen	Vergewaltigung	V:N	-ung
Rasse	Rassismus	N:N	-ismus
Zion	Zionismus	N:N	-ismus
vermuten	Vermutung	V:N	-ung
muten	vermuten	V:V	ver-
dienen	bedienen	V:V	be-
Grieche	griechisch	N:ADJ	-isch
Abscheu	abscheulich	N:ADJ	-lich
tauen	auftauen	V:V	auf-
Geschick	Missgeschick	N:N	miss-
Ladung	Vorladung	N:N	vor-
Tasse	Untertasse	N:N	unter-
Ende	endlich	N:ADJ	-lich
Kompromiss	kompromisslos	N:ADJ	-los
bewegen	Bewegung	V:N	-ung
Schwamm	schwammartig	N:ADJ	-artig
Schwamm	schwammig	N:ADJ	-ig
Heuchler	heuchlerisch	N:ADJ	-isch
Agnostiker	Agnostikerin	N:N	-in
geraten	nachgeraten	V:V	nach-
drehen	umdrehen	V:V	um-
sehen	aussehen	V:V	aus-
binden	verbinden	V:V	ver-
fehlbar	unfehlbar	ADJ:ADJ	un-
grenzen	begrenzen	N:V	be-
fühlen	fühlbar	V:ADJ	-bar
zehren	verzehren	V:V	ver-
mögen	vermögen	V:V	ver-
rüsten	Rüstung	V:N	-ung
Gott	göttlich	N:ADJ	-lich
Röhre	Nanoröhre	N:N	nano-
Bürger	bürgerlich	N:ADJ	-lich
einstellen	Einstellung	V:N	-ung
Grat	Rückgrat	N:N	rück-
rotten	ausrotten	V:V	aus-
